iso_time	uptime_s	temp_c	arm_mhz	core_mhz	volts	load1	throttled_hex	throttled_flags	proc_cpu	proc_rss_kb
2026-08-16T15:15:35+02:00	12741	41.8	700	499	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T15:16:35+02:00	12801	42.8	700	499	0.8955V	1.23	0x0	clean	24.1	322244
2026-08-16T15:17:35+02:00	12861	43.3	700	499	0.8955V	1.22	0x0	clean	24.1	322244
2026-08-16T15:18:36+02:00	12921	43.3	700	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T15:19:36+02:00	12981	41.8	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T15:20:36+02:00	13041	43.3	700	499	0.8955V	1.43	0x0	clean	24.1	322244
2026-08-16T15:21:36+02:00	13101	42.8	700	499	0.8955V	1.40	0x0	clean	24.1	322244
2026-08-16T15:22:36+02:00	13161	43.3	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T15:23:36+02:00	13221	42.8	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T15:24:36+02:00	13282	43.3	700	499	0.8955V	1.44	0x0	clean	24.1	322244
2026-08-16T15:25:36+02:00	13342	42.8	700	499	0.8955V	1.27	0x0	clean	24.1	322244
2026-08-16T15:26:36+02:00	13402	42.3	700	499	0.8955V	1.22	0x0	clean	24.1	322244
2026-08-16T15:27:36+02:00	13462	42.8	700	499	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T15:28:37+02:00	13522	43.3	700	499	0.8955V	1.55	0x0	clean	24.1	322244
2026-08-16T15:29:37+02:00	13582	42.3	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T15:30:37+02:00	13642	43.8	700	499	0.8955V	1.14	0x0	clean	24.1	322244
2026-08-16T15:31:37+02:00	13702	43.8	700	499	0.8955V	1.40	0x0	clean	24.1	322244
2026-08-16T15:32:37+02:00	13762	43.3	700	499	0.8955V	1.37	0x0	clean	24.1	322244
2026-08-16T15:33:37+02:00	13822	42.8	800	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T15:34:37+02:00	13883	43.3	700	499	0.8955V	1.13	0x0	clean	24.1	322244
2026-08-16T15:35:37+02:00	13943	42.3	700	499	0.8955V	1.32	0x0	clean	24.1	322244
2026-08-16T15:36:37+02:00	14003	43.8	700	499	0.8955V	1.31	0x0	clean	24.1	322244
2026-08-16T15:37:37+02:00	14063	43.8	700	499	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T15:38:38+02:00	14123	42.3	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T15:39:38+02:00	14183	43.3	700	499	0.8955V	1.37	0x0	clean	24.1	322244
2026-08-16T15:40:38+02:00	14243	42.8	700	499	0.8955V	1.34	0x0	clean	24.1	322244
2026-08-16T15:41:38+02:00	14303	42.3	700	499	0.8955V	1.40	0x0	clean	24.1	322244
2026-08-16T15:42:38+02:00	14363	42.8	800	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T15:43:38+02:00	14423	42.8	700	499	0.8955V	1.46	0x0	clean	24.1	322244
2026-08-16T15:44:38+02:00	14484	42.8	700	499	0.8955V	1.43	0x0	clean	24.1	322244
2026-08-16T15:45:38+02:00	14544	43.3	700	499	0.8955V	1.56	0x0	clean	24.1	322244
2026-08-16T15:46:38+02:00	14604	43.3	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T15:47:38+02:00	14664	43.3	700	499	0.8955V	1.42	0x0	clean	24.1	322244
2026-08-16T15:48:39+02:00	14724	42.8	700	267	0.8955V	1.38	0x0	clean	24.1	322244
2026-08-16T15:49:39+02:00	14784	42.8	700	499	0.8955V	1.27	0x0	clean	24.1	322244
2026-08-16T15:50:39+02:00	14844	42.3	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T15:51:39+02:00	14904	43.3	700	499	0.8955V	1.23	0x0	clean	24.1	322244
2026-08-16T15:52:39+02:00	14964	43.3	700	499	0.8955V	1.47	0x0	clean	24.1	322244
2026-08-16T15:53:39+02:00	15024	43.3	700	499	0.8955V	1.34	0x0	clean	24.1	322244
2026-08-16T15:54:39+02:00	15085	41.8	700	499	0.8955V	1.36	0x0	clean	24.1	322244
2026-08-16T15:55:39+02:00	15145	42.3	700	499	0.8955V	1.32	0x0	clean	24.1	322244
2026-08-16T15:56:39+02:00	15205	43.3	700	499	0.8955V	1.46	0x0	clean	24.1	322244
2026-08-16T15:57:39+02:00	15265	43.3	700	499	0.8955V	1.22	0x0	clean	24.1	322244
2026-08-16T15:58:40+02:00	15325	42.8	700	499	0.8955V	1.34	0x0	clean	24.1	322244
2026-08-16T15:59:40+02:00	15385	42.8	700	499	0.8955V	1.28	0x0	clean	24.1	322244
2026-08-16T16:00:40+02:00	15445	43.3	700	499	0.8955V	1.39	0x0	clean	24.1	322244
2026-08-16T16:01:40+02:00	15505	42.3	700	499	0.8955V	1.57	0x0	clean	24.1	322244
2026-08-16T16:02:40+02:00	15565	42.8	700	267	0.8955V	1.71	0x0	clean	24.1	322244
2026-08-16T16:03:40+02:00	15625	43.8	700	499	0.8955V	1.43	0x0	clean	24.1	322244
2026-08-16T16:04:40+02:00	15686	43.3	700	499	0.8955V	1.28	0x0	clean	24.1	322244
2026-08-16T16:05:40+02:00	15746	42.8	700	267	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T16:06:40+02:00	15806	42.8	700	267	0.8955V	1.25	0x0	clean	24.1	322244
